,Unnamed: 0,Title,Genre,Descrption,Descrption_Processed,Descrption_vect
10,10,Forrest Gump,"Drama, Romance","the presidencies of kennedy and johnson, the vietnam war, the watergate scandal and other historical events unfold from the perspective of an alabama man with an iq of 75, whose only desire is to be reunited with his childhood sweetheart.","['presidency', 'kennedy', 'johnson', ',', 'vietnam', 'war', ',', 'watergate', 'scandal', 'historical', 'event', 'unfold', 'perspective', 'alabama', 'man', 'iq', '75', ',', 'whose', 'desire', 'reunited', 'childhood', 'sweetheart', '.']","presidency kennedy johnson , vietnam war , watergate scandal historical event unfold perspective alabama man iq 75 , whose desire reunited childhood sweetheart ."
11,11,"The Good, the Bad and the Ugly","Adventure, Western",a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"['bounty', 'hunting', 'scam', 'join', 'two', 'men', 'uneasy', 'alliance', 'third', 'race', 'find', 'fortune', 'gold', 'buried', 'remote', 'cemetery', '.']",bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemetery .
12,12,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama","while frodo and sam edge closer to mordor with the help of the shifty gollum, the divided fellowship makes a stand against sauron's new ally, saruman, and his hordes of isengard.","['frodo', 'sam', 'edge', 'closer', 'mordor', 'help', 'shifty', 'gollum', ',', 'divided', 'fellowship', 'make', 'stand', 'sauron', ""'s"", 'new', 'ally', ',', 'saruman', ',', 'horde', 'isengard', '.']","frodo sam edge closer mordor help shifty gollum , divided fellowship make stand sauron 's new ally , saruman , horde isengard ."
13,13,Interstellar,"Adventure, Drama, Sci-Fi",a team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"['team', 'explorer', 'travel', 'wormhole', 'space', 'attempt', 'ensure', 'humanity', ""'s"", 'survival', '.']",team explorer travel wormhole space attempt ensure humanity 's survival .
14,14,Goodfellas,"Biography, Crime, Drama","the story of henry hill and his life in the mob, covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italian-american crime syndicate.","['story', 'henry', 'hill', 'life', 'mob', ',', 'covering', 'relationship', 'wife', 'karen', 'hill', 'mob', 'partner', 'jimmy', 'conway', 'tommy', 'devito', 'italian-american', 'crime', 'syndicate', '.']","story henry hill life mob , covering relationship wife karen hill mob partner jimmy conway tommy devito italian-american crime syndicate ."
15,15,One Flew Over the Cuckoo's Nest,Drama,"a criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","['criminal', 'pleads', 'insanity', 'admitted', 'mental', 'institution', ',', 'rebel', 'oppressive', 'nurse', 'rally', 'scared', 'patient', '.']","criminal pleads insanity admitted mental institution , rebel oppressive nurse rally scared patient ."
16,16,The Matrix,"Action, Sci-Fi","when a beautiful stranger leads computer hacker neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","['beautiful', 'stranger', 'lead', 'computer', 'hacker', 'neo', 'forbidding', 'underworld', ',', 'discovers', 'shocking', 'truth', '--', 'life', 'know', 'elaborate', 'deception', 'evil', 'cyber-intelligence', '.']","beautiful stranger lead computer hacker neo forbidding underworld , discovers shocking truth -- life know elaborate deception evil cyber-intelligence ."
17,17,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy","after the rebels are brutally overpowered by the empire on the ice planet hoth, luke skywalker begins jedi training with yoda, while his friends are pursued across the galaxy by darth vader and bounty hunter boba fett.","['rebel', 'brutally', 'overpowered', 'empire', 'ice', 'planet', 'hoth', ',', 'luke', 'skywalker', 'begin', 'jedi', 'training', 'yoda', ',', 'friend', 'pursued', 'across', 'galaxy', 'darth', 'vader', 'bounty', 'hunter', 'boba', 'fett', '.']","rebel brutally overpowered empire ice planet hoth , luke skywalker begin jedi training yoda , friend pursued across galaxy darth vader bounty hunter boba fett ."
18,18,Se7en,"Crime, Drama, Mystery","two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","['two', 'detective', ',', 'rookie', 'veteran', ',', 'hunt', 'serial', 'killer', 'us', 'seven', 'deadly', 'sin', 'motif', '.']","two detective , rookie veteran , hunt serial killer us seven deadly sin motif ."
19,19,The Silence of the Lambs,"Crime, Drama, Thriller","a young f.b.i. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","['young', 'f.b.i', '.', 'cadet', 'must', 'receive', 'help', 'incarcerated', 'manipulative', 'cannibal', 'killer', 'help', 'catch', 'another', 'serial', 'killer', ',', 'madman', 'skin', 'victim', '.']","young f.b.i . cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer , madman skin victim ."
20,20,Saving Private Ryan,"Drama, War","following the normandy landings, a group of u.s. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","['following', 'normandy', 'landing', ',', 'group', 'u.s.', 'soldier', 'go', 'behind', 'enemy', 'line', 'retrieve', 'paratrooper', 'whose', 'brother', 'killed', 'action', '.']","following normandy landing , group u.s. soldier go behind enemy line retrieve paratrooper whose brother killed action ."
21,21,Terminator 2: Judgment Day,"Action, Sci-Fi","a cyborg, identical to the one who failed to kill sarah connor, must now protect her ten-year-old son john from a more advanced and powerful cyborg.","['cyborg', ',', 'identical', 'one', 'failed', 'kill', 'sarah', 'connor', ',', 'must', 'protect', 'ten-year-old', 'son', 'john', 'advanced', 'powerful', 'cyborg', '.']","cyborg , identical one failed kill sarah connor , must protect ten-year-old son john advanced powerful cyborg ."
22,22,The Green Mile,"Crime, Drama, Fantasy","the lives of guards on death row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","['life', 'guard', 'death', 'row', 'affected', 'one', 'charge', ':', 'black', 'man', 'accused', 'child', 'murder', 'rape', ',', 'yet', 'mysterious', 'gift', '.']","life guard death row affected one charge : black man accused child murder rape , yet mysterious gift ."
23,23,Spirited Away,"Animation, Adventure, Family","during her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","['family', ""'s"", 'move', 'suburb', ',', 'sullen', '10-year-old', 'girl', 'wanders', 'world', 'ruled', 'god', ',', 'witch', ',', 'spirit', ',', 'human', 'changed', 'beast', '.']","family 's move suburb , sullen 10-year-old girl wanders world ruled god , witch , spirit , human changed beast ."
24,24,City of God,"Crime, Drama","in the slums of rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","['slum', 'rio', ',', 'two', 'kid', ""'"", 'path', 'diverge', 'one', 'struggle', 'become', 'photographer', 'kingpin', '.']","slum rio , two kid ' path diverge one struggle become photographer kingpin ."
25,25,Life Is Beautiful,"Comedy, Drama, Romance","when an open-minded jewish waiter and his son become victims of the holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","['open-minded', 'jewish', 'waiter', 'son', 'become', 'victim', 'holocaust', ',', 'us', 'perfect', 'mixture', ',', 'humor', ',', 'imagination', 'protect', 'son', 'danger', 'around', 'camp', '.']","open-minded jewish waiter son become victim holocaust , us perfect mixture , humor , imagination protect son danger around camp ."
26,26,Seven Samurai,"Action, Drama","""a veteran samurai, gathers six samurais to protect a village from the cruel bandits. as the samurais teach the natives how to defend themselves, the village is attacked by a pack of 40 bandits.","['``', 'veteran', 'samurai', ',', 'gather', 'six', 'samurai', 'protect', 'village', 'cruel', 'bandit', '.', 'samurai', 'teach', 'native', 'defend', ',', 'village', 'attacked', 'pack', '40', 'bandit', '.']","`` veteran samurai , gather six samurai protect village cruel bandit . samurai teach native defend , village attacked pack 40 bandit ."
27,27,The Prestige,"Drama, Mystery, Sci-Fi","after a tragic accident, two stage magicians in 1890s london engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","['tragic', 'accident', ',', 'two', 'stage', 'magician', '1890s', 'london', 'engage', 'battle', 'create', 'ultimate', 'illusion', 'sacrificing', 'everything', 'outwit', '.']","tragic accident , two stage magician 1890s london engage battle create ultimate illusion sacrificing everything outwit ."
28,28,The Departed,"Crime, Drama, Thriller",an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston.,"['undercover', 'cop', 'mole', 'police', 'attempt', 'identify', 'infiltrating', 'irish', 'gang', 'south', 'boston', '.']",undercover cop mole police attempt identify infiltrating irish gang south boston .
29,29,Parasite,"Drama, Thriller",greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan.,"['greed', 'class', 'discrimination', 'threaten', 'newly', 'formed', 'symbiotic', 'relationship', 'wealthy', 'park', 'family', 'destitute', 'kim', 'clan', '.']",greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan .
30,30,Alien,"Horror, Sci-Fi",the crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"['crew', 'commercial', 'spacecraft', 'encounter', 'deadly', 'lifeform', 'investigating', 'unknown', 'transmission', '.']",crew commercial spacecraft encounter deadly lifeform investigating unknown transmission .
31,31,Gladiator,"Action, Adventure, Drama",a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"['former', 'roman', 'general', 'set', 'exact', 'vengeance', 'corrupt', 'emperor', 'murdered', 'family', 'sent', 'slavery', '.']",former roman general set exact vengeance corrupt emperor murdered family sent slavery .
32,32,Back to the Future,"Adventure, Comedy, Sci-Fi","marty mcfly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling delorean invented by his close friend, the eccentric scientist doc brown.","['marty', 'mcfly', ',', '17-year-old', 'high', 'school', 'student', ',', 'accidentally', 'sent', 'thirty', 'year', 'past', 'time-traveling', 'delorean', 'invented', 'close', 'friend', ',', 'eccentric', 'scientist', 'doc', 'brown', '.']","marty mcfly , 17-year-old high school student , accidentally sent thirty year past time-traveling delorean invented close friend , eccentric scientist doc brown ."
33,33,Whiplash,"Drama, Music",a promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"['promising', 'young', 'drummer', 'enrolls', 'cut-throat', 'music', 'conservatory', 'dream', 'greatness', 'mentored', 'instructor', 'stop', 'nothing', 'realize', 'student', ""'s"", 'potential', '.']",promising young drummer enrolls cut-throat music conservatory dream greatness mentored instructor stop nothing realize student 's potential .
34,34,Léon: The Professional,"Action, Crime, Drama","12-year-old mathilda is reluctantly taken in by léon, a professional assassin, after her family is murdered. an unusual relationship forms as she becomes his protégée and learns the assassin's trade.","['12-year-old', 'mathilda', 'reluctantly', 'taken', 'léon', ',', 'professional', 'assassin', ',', 'family', 'murdered', '.', 'unusual', 'relationship', 'form', 'becomes', 'protégée', 'learns', 'assassin', ""'s"", 'trade', '.']","12-year-old mathilda reluctantly taken léon , professional assassin , family murdered . unusual relationship form becomes protégée learns assassin 's trade ."
35,35,The Pianist,"Biography, Drama, Music",a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii.,"['polish', 'jewish', 'musician', 'struggle', 'survive', 'destruction', 'warsaw', 'ghetto', 'world', 'war', 'ii', '.']",polish jewish musician struggle survive destruction warsaw ghetto world war ii .
36,36,Psycho,"Horror, Mystery, Thriller","a phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","['phoenix', 'secretary', 'embezzles', '$', '40,000', 'employer', ""'s"", 'client', ',', 'go', 'run', ',', 'check', 'remote', 'motel', 'run', 'young', 'man', 'domination', 'mother', '.']","phoenix secretary embezzles $ 40,000 employer 's client , go run , check remote motel run young man domination mother ."
37,37,The Usual Suspects,"Crime, Drama, Mystery","a sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","['sole', 'survivor', 'tell', 'twisty', 'event', 'leading', 'horrific', 'gun', 'battle', 'boat', ',', 'began', 'five', 'criminal', 'met', 'seemingly', 'random', 'police', 'lineup', '.']","sole survivor tell twisty event leading horrific gun battle boat , began five criminal met seemingly random police lineup ."
38,38,The Lion King,"Animation, Adventure, Drama","lion prince simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","['lion', 'prince', 'simba', 'father', 'targeted', 'bitter', 'uncle', ',', 'want', 'ascend', 'throne', '.']","lion prince simba father targeted bitter uncle , want ascend throne ."
39,39,The Lion King,"Animation, Adventure, Drama","lion prince simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","['lion', 'prince', 'simba', 'father', 'targeted', 'bitter', 'uncle', ',', 'want', 'ascend', 'throne', '.']","lion prince simba father targeted bitter uncle , want ascend throne ."
40,40,American History X,"Crime, Drama",a former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"['former', 'neo-nazi', 'skinhead', 'try', 'prevent', 'younger', 'brother', 'going', 'wrong', 'path', '.']",former neo-nazi skinhead try prevent younger brother going wrong path .
41,41,The Intouchables,"Biography, Comedy, Drama","after he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","['becomes', 'quadriplegic', 'paragliding', 'accident', ',', 'aristocrat', 'hire', 'young', 'man', 'project', 'caregiver', '.']","becomes quadriplegic paragliding accident , aristocrat hire young man project caregiver ."
42,42,Casablanca,"Drama, Romance, War",a cynical expatriate american cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the nazis in french morocco.,"['cynical', 'expatriate', 'american', 'cafe', 'owner', 'struggle', 'decide', 'whether', 'help', 'former', 'lover', 'fugitive', 'husband', 'escape', 'nazi', 'french', 'morocco', '.']",cynical expatriate american cafe owner struggle decide whether help former lover fugitive husband escape nazi french morocco .
43,43,Once Upon a Time in the West,Western,a mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"['mysterious', 'stranger', 'harmonica', 'join', 'force', 'notorious', 'desperado', 'protect', 'beautiful', 'widow', 'ruthless', 'assassin', 'working', 'railroad', '.']",mysterious stranger harmonica join force notorious desperado protect beautiful widow ruthless assassin working railroad .
44,44,Rear Window,"Mystery, Thriller","a wheelchair-bound photographer spies on his neighbors from his greenwich village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","['wheelchair-bound', 'photographer', 'spy', 'neighbor', 'greenwich', 'village', 'courtyard', 'apartment', 'window', ',', 'becomes', 'convinced', 'one', 'committed', 'murder', ',', 'despite', 'skepticism', 'fashion-model', 'girlfriend', '.']","wheelchair-bound photographer spy neighbor greenwich village courtyard apartment window , becomes convinced one committed murder , despite skepticism fashion-model girlfriend ."
45,45,Cinema Paradiso,"Drama, Romance",a filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"['filmmaker', 'recall', 'childhood', 'falling', 'love', 'picture', 'cinema', 'home', 'village', 'form', 'deep', 'friendship', 'cinema', ""'s"", 'projectionist', '.']",filmmaker recall childhood falling love picture cinema home village form deep friendship cinema 's projectionist .
46,46,City Lights,"Comedy, Drama, Romance","with the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","['aid', 'wealthy', 'erratic', 'tippler', ',', 'dewy-eyed', 'tramp', 'fallen', 'love', 'sightless', 'flower', 'girl', 'accumulates', 'money', 'able', 'help', 'medically', '.']","aid wealthy erratic tippler , dewy-eyed tramp fallen love sightless flower girl accumulates money able help medically ."
47,47,Modern Times,"Comedy, Drama, Romance",the tramp struggles to live in modern industrial society with the help of a young homeless woman.,"['tramp', 'struggle', 'live', 'modern', 'industrial', 'society', 'help', 'young', 'homeless', 'woman', '.']",tramp struggle live modern industrial society help young homeless woman .
48,48,Memento,"Mystery, Thriller",a man with short-term memory loss attempts to track down his wife's murderer.,"['man', 'short-term', 'memory', 'loss', 'attempt', 'track', 'wife', ""'s"", 'murderer', '.']",man short-term memory loss attempt track wife 's murderer .
49,49,The Dark Knight Rises,"Action, Drama, Thriller","eight years after the joker's reign of anarchy, batman, with the help of the enigmatic catwoman, is forced from his exile to save gotham city from the brutal guerrilla terrorist bane.","['eight', 'year', 'joker', ""'s"", 'reign', 'anarchy', ',', 'batman', ',', 'help', 'enigmatic', 'catwoman', ',', 'forced', 'exile', 'save', 'gotham', 'city', 'brutal', 'guerrilla', 'terrorist', 'bane', '.']","eight year joker 's reign anarchy , batman , help enigmatic catwoman , forced exile save gotham city brutal guerrilla terrorist bane ."
50,50,Avengers: Endgame,"Action, Adventure, Drama","after the devastating events of avengers: infinity war (2018), the universe is in ruins. with the help of remaining allies, the avengers assemble once more in order to reverse thanos' actions and restore balance to the universe.","['devastating', 'event', 'avenger', ':', 'infinity', 'war', '(', '2018', ')', ',', 'universe', 'ruin', '.', 'help', 'remaining', 'ally', ',', 'avenger', 'assemble', 'order', 'reverse', 'thanos', ""'"", 'action', 'restore', 'balance', 'universe', '.']","devastating event avenger : infinity war ( 2018 ) , universe ruin . help remaining ally , avenger assemble order reverse thanos ' action restore balance universe ."
51,51,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure","teen miles morales becomes the spider-man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","['teen', 'mile', 'morale', 'becomes', 'spider-man', 'universe', ',', 'must', 'join', 'five', 'spider-powered', 'individual', 'dimension', 'stop', 'threat', 'reality', '.']","teen mile morale becomes spider-man universe , must join five spider-powered individual dimension stop threat reality ."
52,52,Joker,"Crime, Drama, Thriller",a mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,"['mentally', 'troubled', 'stand-up', 'comedian', 'embarks', 'downward', 'spiral', 'lead', 'creation', 'iconic', 'villain', '.']",mentally troubled stand-up comedian embarks downward spiral lead creation iconic villain .
53,53,Django Unchained,"Drama, Western","with the help of a german bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in mississippi.","['help', 'german', 'bounty-hunter', ',', 'freed', 'slave', 'set', 'rescue', 'wife', 'brutal', 'plantation-owner', 'mississippi', '.']","help german bounty-hunter , freed slave set rescue wife brutal plantation-owner mississippi ."
54,54,Indiana Jones and the Raiders of the Lost Ark,"Action, Adventure","in 1936, archaeologist and adventurer indiana jones is hired by the u.s. government to find the ark of the covenant before adolf hitler's nazis can obtain its awesome powers.","['1936', ',', 'archaeologist', 'adventurer', 'indiana', 'jones', 'hired', 'u.s.', 'government', 'find', 'ark', 'covenant', 'adolf', 'hitler', ""'s"", 'nazi', 'obtain', 'awesome', 'power', '.']","1936 , archaeologist adventurer indiana jones hired u.s. government find ark covenant adolf hitler 's nazi obtain awesome power ."
55,55,Aliens,"Action, Adventure, Sci-Fi","fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, officer ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.","['fifty-seven', 'year', 'surviving', 'apocalyptic', 'attack', 'aboard', 'space', 'vessel', 'merciless', 'space', 'creature', ',', 'officer', 'ripley', 'awakens', 'hyper-sleep', 'try', 'warn', 'anyone', 'listen', 'predator', '.']","fifty-seven year surviving apocalyptic attack aboard space vessel merciless space creature , officer ripley awakens hyper-sleep try warn anyone listen predator ."
56,56,Oldboy,"Action, Drama, Mystery","after being kidnapped and imprisoned for fifteen years, oh dae-su is released, only to find that he must find his captor in five days.","['kidnapped', 'imprisoned', 'fifteen', 'year', ',', 'oh', 'dae-su', 'released', ',', 'find', 'must', 'find', 'captor', 'five', 'day', '.']","kidnapped imprisoned fifteen year , oh dae-su released , find must find captor five day ."
57,57,Oldboy,"Action, Drama, Mystery","after being kidnapped and imprisoned for fifteen years, oh dae-su is released, only to find that he must find his captor in five days.","['kidnapped', 'imprisoned', 'fifteen', 'year', ',', 'oh', 'dae-su', 'released', ',', 'find', 'must', 'find', 'captor', 'five', 'day', '.']","kidnapped imprisoned fifteen year , oh dae-su released , find must find captor five day ."
58,58,Apocalypse Now,"Drama, Mystery, War",a u.s. army officer serving in vietnam is tasked with assassinating a renegade special forces colonel who sees himself as a god.,"['u.s.', 'army', 'officer', 'serving', 'vietnam', 'tasked', 'assassinating', 'renegade', 'special', 'force', 'colonel', 'see', 'god', '.']",u.s. army officer serving vietnam tasked assassinating renegade special force colonel see god .
59,59,The Shining,"Drama, Horror","a family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","['family', 'head', 'isolated', 'hotel', 'winter', 'sinister', 'presence', 'influence', 'father', 'violence', ',', 'psychic', 'son', 'see', 'horrific', 'foreboding', 'past', 'future', '.']","family head isolated hotel winter sinister presence influence father violence , psychic son see horrific foreboding past future ."
60,60,Avengers: Infinity War,"Action, Adventure, Sci-Fi",the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe.,"['avenger', 'ally', 'must', 'willing', 'sacrifice', 'attempt', 'defeat', 'powerful', 'thanos', 'blitz', 'devastation', 'ruin', 'put', 'end', 'universe', '.']",avenger ally must willing sacrifice attempt defeat powerful thanos blitz devastation ruin put end universe .
61,61,Amadeus,"Biography, Drama, Music","the life, success and troubles of wolfgang amadeus mozart, as told by antonio salieri, the contemporaneous composer who was insanely jealous of mozart's talent and claimed to have murdered him.","['life', ',', 'success', 'trouble', 'wolfgang', 'amadeus', 'mozart', ',', 'told', 'antonio', 'salieri', ',', 'contemporaneous', 'composer', 'insanely', 'jealous', 'mozart', ""'s"", 'talent', 'claimed', 'murdered', '.']","life , success trouble wolfgang amadeus mozart , told antonio salieri , contemporaneous composer insanely jealous mozart 's talent claimed murdered ."
62,62,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War","an insane american general orders a bombing attack on the soviet union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","['insane', 'american', 'general', 'order', 'bombing', 'attack', 'soviet', 'union', ',', 'triggering', 'path', 'nuclear', 'holocaust', 'war', 'room', 'full', 'politician', 'general', 'frantically', 'try', 'stop', '.']","insane american general order bombing attack soviet union , triggering path nuclear holocaust war room full politician general frantically try stop ."
63,63,Your Name.,"Animation, Drama, Fantasy","two strangers find themselves linked in a bizarre way. when a connection forms, will distance be the only thing to keep them apart?","['two', 'stranger', 'find', 'linked', 'bizarre', 'way', '.', 'connection', 'form', ',', 'distance', 'thing', 'keep', 'apart', '?']","two stranger find linked bizarre way . connection form , distance thing keep apart ?"
64,64,Coco,"Animation, Adventure, Drama","aspiring musician miguel, confronted with his family's ancestral ban on music, enters the land of the dead to find his great-great-grandfather, a legendary singer.","['aspiring', 'musician', 'miguel', ',', 'confronted', 'family', ""'s"", 'ancestral', 'ban', 'music', ',', 'enters', 'land', 'dead', 'find', 'great-great-grandfather', ',', 'legendary', 'singer', '.']","aspiring musician miguel , confronted family 's ancestral ban music , enters land dead find great-great-grandfather , legendary singer ."
65,65,WALL·E,"Animation, Adventure, Family","in the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","['distant', 'future', ',', 'small', 'waste-collecting', 'robot', 'inadvertently', 'embarks', 'space', 'journey', 'ultimately', 'decide', 'fate', 'mankind', '.']","distant future , small waste-collecting robot inadvertently embarks space journey ultimately decide fate mankind ."
66,66,The Lives of Others,"Drama, Mystery, Thriller","in 1984 east berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","['1984', 'east', 'berlin', ',', 'agent', 'secret', 'police', ',', 'conducting', 'surveillance', 'writer', 'lover', ',', 'find', 'becoming', 'increasingly', 'absorbed', 'life', '.']","1984 east berlin , agent secret police , conducting surveillance writer lover , find becoming increasingly absorbed life ."
